British Columbia Population 1867 to 2024,
,
Year,Population: June 1
1867,"32,000"
1868,"33,000"
1869,"34,000"
1870,"36,000"
1871,"36,000"
1872,"37,000"
1873,"39,000"
1874,"37,000"
1875,"42,000"
1876,"43,000"
1877,"44,000"
1878,"45,000"
1879,"46,000"
1880,"48,000"
1881,"49,000"
1882,"54,000"
1883,"59,000"
1884,"64,000"
1885,"69,000"
1886,"74,000"
1887,"78,000"
1888,"83,000"
1889,"88,000"
1890,"93,000"
1891,"98,000"
1892,"106,000"
1893,"114,000"
1894,"122,000"
1895,"130,000"
1896,"138,000"
1897,"146,000"
1898,"154,000"
1899,"162,000"
1900,"170,000"
1901,"179,000"
1902,"199,000"
1903,"220,000"
1904,"242,000"
1905,"264,000"
1906,"279,000"
1907,"309,000"
1908,"330,000"
1909,"350,000"
1910,"370,000"
1911,"393,000"
1912,"407,000"
1913,"424,000"
1914,"442,000"
1915,"450,000"
1916,"456,000"
1917,"464,000"
1918,"474,000"
1919,"488,000"
1920,"507,000"
1921,"525,000"
1922,"541,000"
1923,"555,000"
1924,"571,000"
1925,"588,000"
1926,"606,000"
1927,"623,000"
1928,"641,000"
1929,"659,000"
1930,"676,000"
1931,"694,300"
1932,"707,000"
1933,"717,000"
1934,"727,000"
1935,"736,000"
1936,"745,200"
1937,"759,000"
1938,"775,000"
1939,"792,000"
1940,"805,000"
1941,"817,800"
1942,"870,000"
1943,"900,000"
1944,"932,000"
1945,"949,000"
1946,"1,003,000"
1947,"1,044,000"
1948,"1,082,000"
1949,"1,113,000"
1950,"1,137,000"
1951,"1,165,200"
1952,"1,205,000"
1953,"1,248,000"
1954,"1,295,000"
1955,"1,342,000"
1956,"1,398,500"
1957,"1,482,000"
1958,"1,538,000"
1959,"1,567,000"
1960,"1,602,000"
1961,"1,629,100"
1962,"1,660,000"
1963,"1,699,000"
1964,"1,745,000"
1965,"1,797,000"
1966,"1,873,700"
1967,"1,945,000"
1968,"2,003,000"
1969,"2,060,000"
1970,"2,128,000"
1971,"2,184,600"
,
Year,Population: July 1
1971,"2,240,470"
1972,"2,302,086"
1973,"2,367,271"
1974,"2,442,578"
1975,"2,499,564"
1976,"2,533,899"
1977,"2,570,315"
1978,"2,615,162"
1979,"2,665,238"
1980,"2,745,861"
1981,"2,826,558"
1982,"2,876,513"
1983,"2,907,502"
1984,"2,947,181"
1985,"2,975,131"
1986,"3,003,621"
1987,"3,048,651"
1988,"3,114,761"
1989,"3,196,725"
1990,"3,292,111"
1991,"3,373,787"
1992,"3,468,802"
1993,"3,567,772"
1994,"3,676,075"
1995,"3,777,390"
1996,"3,874,317"
1997,"3,948,583"
1998,"3,983,113"
1999,"4,011,375"
2000,"4,039,230"
2001,"4,076,896"
2002,"4,100,504"
2003,"4,124,447"
2004,"4,155,630"
2005,"4,196,076"
2006,"4,241,793"
2007,"4,290,987"
2008,"4,349,338"
2009,"4,410,513"
2010,"4,465,557"
2011,"4,503,819"
2012,"4,570,866"
2013,"4,634,943"
2014,"4,712,691"
2015,"4,765,472"
2016,"4,861,269"
2017,"4,934,202"
2018,"5,020,979"
2019,"5,111,022"
2020,"5,176,101"
2021,"5,226,665"
2022,"5,357,486"
2023,"5,531,553"
2024,"5,698,430"
,
Source: Statistics Canada,
"Prepared by: Demographic Analysis Section, BC Stats",
Last updated: November 2024,
,
Note: There is a break in the data between 1970 and 1971 due to the inclusion of an estimate of net census undercount from 1971 onward. ,
Figures were not revised to incorporate an estimate of net census undercount prior to 1971.,
